Frame preprocessing,Face prediction,Face preprocessing,Face elements prediction,Face elements preprocessing,Eyes prediction,Visual notification,
0.0009846687316894531,1.2118549346923828,0.0,0.013939142227172852,0.0,0.05982065200805664,0.0,
0.0,0.01499032974243164,0.0,0.012971162796020508,0.0009620189666748047,0.012028694152832031,0.0010099411010742188,
0.0,0.014957666397094727,0.0,0.013948917388916016,0.0,0.012002706527709961,0.0009648799896240234,
0.0010180473327636719,0.01493382453918457,0.0,0.01300668716430664,0.0,0.014918327331542969,0.0010366439819335938,
0.0,0.015981435775756836,0.0,0.012973308563232422,0.0,0.013927936553955078,0.0,
0.0010309219360351562,0.013962507247924805,0.0,0.013933181762695312,0.0,0.01296091079711914,0.0,
0.0,0.014000177383422852,0.0009577274322509766,0.013018131256103516,0.0,0.012923002243041992,0.0,
0.0,0.016006946563720703,0.0,0.012923717498779297,0.0,0.013949871063232422,0.0010344982147216797,
0.0009677410125732422,0.013996362686157227,0.0009675025939941406,0.012996673583984375,0.0009613037109375,0.012004613876342773,0.0009975433349609375,
0.0,0.013973474502563477,0.0,0.014959335327148438,0.0,0.012994527816772461,0.0009744167327880859,
0.0,0.015961170196533203,0.0009698867797851562,0.012966156005859375,0.0,0.01200413703918457,0.0009605884552001953,
0.0009756088256835938,0.016013145446777344,0.0,0.013924121856689453,0.0,0.012984037399291992,0.0009622573852539062,
0.0009565353393554688,0.013997077941894531,0.0,0.01492452621459961,0.0,0.013000726699829102,0.0009992122650146484,
0.0009913444519042969,0.013966560363769531,0.0,0.014957189559936523,0.0,0.013988971710205078,0.0009720325469970703,
0.0,0.014960527420043945,0.0,0.013016939163208008,0.0,0.013911008834838867,0.0010352134704589844,
0.0,0.013966798782348633,0.0,0.013942718505859375,0.0,0.012958049774169922,0.0,
0.0,0.014943838119506836,0.0,0.013988733291625977,0.0010249614715576172,0.011929988861083984,0.0,
0.0,0.01597428321838379,0.0,0.013931512832641602,0.0,0.012988805770874023,0.0009586811065673828,
0.0,0.013962030410766602,0.0009968280792236328,0.012996435165405273,0.0,0.01297140121459961,0.0009632110595703125,
0.0009953975677490234,0.014964818954467773,0.0,0.014962196350097656,0.0,0.011994361877441406,0.0009605884552001953,
0.0,0.013998270034790039,0.0009648799896240234,0.013038396835327148,0.0,0.013954639434814453,0.0,
0.0,0.013962030410766602,0.0,0.014444828033447266,0.0,0.014002323150634766,0.0,
0.0,0.014011383056640625,0.0,0.013910531997680664,0.0,0.01300048828125,0.0,
